texto,label_txt,label
Reclama aqui tu 2x1 para cenar,spam,1
Tu caso es prioritario para nosotros,ham,0
Canjea este cupón por un 2x1 en cenas,spam,1
Asegura la educación de tus hijos desde hoy,spam,1
Prepara el futuro de tus hijos con nuestro fondo universitario,spam,1
Flash sale todo debe irse,spam,1
Verifica y completa tu información personal,ham,0
Haz dinero facil desde la comodidad de tu hogar,spam,1
Sorprende a tu amor con esta joya unica,spam,1
Domina la oratoria con este curso,spam,1
Por favor completa esta oferta para continuar,spam,1
Obten acceso anticipado a nuestras rebajas,spam,1
Disfruta de envío gratis en pedidos mayores a $500,spam,1
Verifica tu correo para continuar,ham,0
Tu cuenta ha sido actualizada exitosamente,ham,0
Recordatorio: tu revisión médica anual,ham,0
Descarga este tono de llamada gratis,spam,1
Lamentamos informarte que tu postulación no ha sido seleccionada,ham,0
Comunicado: cambio temporal de sede,ham,0
Hola ¿te gustaría ser parte de nuestro equipo?,ham,0
Tu factura ya está lista descárgala aquí,ham,0
Por favor revisa y actualiza tus datos personales,ham,0
Desintoxica tu organismo con este batido verde,spam,1
Hola tengo una propuesta de negocio que podria interesarte,spam,1
Aprende a tocar guitarra en solo 4 semanas,spam,1
Aprovecha esta oferta por tiempo limitado,spam,1
Asegura tu auto con nosotros y obtén grandes beneficios,spam,1
Gracias por tu donacion a nuestra causa,ham,0
Pierde peso rapido con esta dieta milagrosa,spam,1
Tu paquete esta en camino,ham,0
Te recordamos que tienes un pago pendiente,spam,1
Hola coordinemos esa reunión pendiente,ham,0
Compra ahora y recibe un descuento especial,ham,0
Felicidades por tu logro te lo mereces,ham,0
Invierte en bitcoin y hazte millonario,spam,1
Hola me gustaria invitarte a salir,ham,0
Gana una gift card en nuestra rifa,spam,1
Obtén Bitcoin gratis con este truco,spam,1
Hola estoy interesado en tus servicios,ham,0
Obten acceso a contenido exclusivo suscribiendote ahora,spam,1
Amplía tu círculo social con nuestra app,spam,1
Gracias por comprar reclama tu cashback,ham,0
Revisa tus transacciones recientes,ham,0
Hola potenciemos juntos tu negocio,ham,0
Transforma tu mente con nuestro retiro espiritual,spam,1
Has ganado un viaje todo incluido,spam,1
Hola te gustaria conversar tomando un cafe,ham,0
Gana un viaje todo pagado participando en nuestro sorteo,spam,1
Necesito tu autorización para el siguiente paso,ham,0
Obtén la mejor cobertura médica para ti y tu familia,spam,1
Resalta tu belleza con nuestro labial,spam,1
Hola optimicemos juntos tus finanzas,ham,0
Evita el corte pagando hoy mismo,ham,0
Necesitamos que confirmes tu direccion de envio,spam,1
Necesitamos que verifiques tu identidad,spam,1
Apreciamos tu fidelidad disfruta de este obsequio,ham,0
Elige cómo quieres pagar,ham,0
Hola seré tu nutricionista online,spam,1
Usa este código de descuento antes que expire,spam,1
Domina el arte de hablar en publico,spam,1
Tu pedido ha sido enviado,ham,0
Recordatorio de tu consulta dental,ham,0
Lee nuestros nuevos términos de servicio,ham,0
Conoce las actualizaciones a nuestras politicas,ham,0
Obten descuentos exclusivos en nuestro sitio web,spam,1
Reduce tallas con nuestro plan detox,spam,1
Tu pin temporal es 3897,ham,0
Desarrolla el cuerpo de tus suenos con este entrenamiento,spam,1
Gracias por tu apoyo a nuestra organizacion,ham,0
Ayúdanos a servirte mejor con tus sugerencias,ham,0
Recordatorio de tu cita médica de control,ham,0
Despierta tu sensualidad con nuestras fragancias,spam,1
Desarrolla una memoria extraordinaria con este curso,spam,1
Reclama aquí tu premio por tu compra,ham,0
No te pierdas las imagenes mas divertidas,spam,1
Encuentra el amor con nuestra app de citas,spam,1
Tu compra ya esta lista para retirar,ham,0
Pierde peso mientras duermes con este té,spam,1
Confirma tu asistencia a la junta directiva,ham,0
Hemos recibido tu solicitud y la estamos revisando,ham,0
Gracias por unirte a nuestro newsletter,ham,0
Conoce solteros compatibles contigo,spam,1
Por favor verifica tu información de contacto,ham,0
Gana dinero extra con nuestro programa de afiliados,spam,1
Gracias por confiar en nuestros consejos,ham,0
Por favor confirma tu suscripcion,ham,0
Gracias por postular te deseamos exitos,ham,0
Usa nuestra app y acumula puntos canjeables,spam,1
Pierde peso con nuestro reto de 30 dias,spam,1
Participa en nuestro sorteo y gana increíbles premios,spam,1
Aprovecha nuestra tasa preferencial para ahorros,spam,1
Haz clic para ver este increible video,spam,1
Cuida a los que amas con un seguro de vida,spam,1
Felicidades has sido seleccionado para una encuesta remunerada,spam,1
Trae este cupón para un obsequio especial,spam,1
Invierte como los expertos con nuestras herramientas,spam,1
Visita nuestra tienda y llevate un regalo,spam,1
Gracias por tu interes en nuestros servicios,ham,0
Gracias por preferirnos siempre,ham,0
Conoce nuestro compromiso con tu privacidad,ham,0
Libera tu potencial artístico con nuestro set de pinturas,spam,1
No te pierdas estos bloopers divertidos,spam,1
Comienza a ahorrar para tu jubilacion,spam,1
Aprende a meditar y reduce tu estrés,ham,0
Por tu seguridad verificaremos tu identidad,spam,1
Confirma tu participacion en el taller,ham,0
Gracias por registrarte en nuestro sitio web,ham,0
Revisa los resultados de tus exámenes médicos,ham,0
Estamos procesando tu reembolso,ham,0
Gracias por ser parte de nuestra comunidad,ham,0
Tu cuenta ya está activa empieza a disfrutar de los beneficios,ham,0
Reconfirma tu cita en el spa,ham,0
Descubre el secreto para unas pestanas largas y gruesas,spam,1
Hemos recibido tu aplicación te contactaremos pronto,ham,0
Haz clic para reclamar tu premio,spam,1
Gana una gift card opinando sobre nuestro servicio,spam,1
Encuentra tu paz interior con yoga,ham,0
Este es un mensaje de tu banco,ham,0
Concursa por entradas VIP al estreno,spam,1
Accede a contenido premium suscribiendote a nuestro newsletter,spam,1
Agradecemos tus ideas nos ayudan a mejorar,ham,0
Gana boletos para el concierto del año,spam,1
Haz clic para descargar este increible juego,spam,1
Por favor confirma tu asistencia al webinar de mañana,ham,0
No te pierdas estas imágenes inspiradoras,spam,1
Tu feedback es valioso para nosotros,ham,0
Recuerda que tienes una tarea pendiente,ham,0
Hola ¿te gustaría tomar un café conmigo?,ham,0
Soluciona tus problemas de acné con nuestro gel,spam,1
Este es un recordatorio amistoso de tu cita dental,ham,0
Necesitamos verificar tu identidad por favor contáctanos,spam,1
Por favor cuéntanos sobre tu experiencia con nuestro servicio,ham,0
Has ganado una tableta nueva,spam,1
No te pierdas estos videos virales,spam,1
Esperamos que disfrutes de tu estancia en nuestro hotel,ham,0
Canjea aquí tu cupón de descuento,spam,1
Aumenta tu libido con este revolucionario producto,spam,1
Recordatorio: tu reserva en el restaurante es esta noche,ham,0
Salva una mascota adoptando,ham,0
Felicidades obtuviste la beca,ham,0
Por favor completa la encuesta del clima laboral,ham,0
Obtén reembolso de tus compras,spam,1
Conoce solteras calientes en tu area,spam,1
Este es un recordatorio de tu reserva en nuestro restaurante,ham,0
Protege tu negocio con nuestro seguro para PyMEs,spam,1
Paga tu cuota antes del 30 y ahorra,ham,0
Nuevas actualizaciones en nuestros términos y condiciones,ham,0
Actualiza tus preferencias de pago,ham,0
Gracias por postular te contactaremos pronto,ham,0
Tu membresia expirara en unos dias,ham,0
Baja el manual de instrucciones aqui,spam,1
Verifica tu edad para acceder al contenido,spam,1
Comparte tu experiencia y gana dinero,spam,1
Felicitaciones por tu aniversario laboral,ham,0
Resalta tu belleza natural con nuestro maquillaje,spam,1
Felicitaciones has sido seleccionado para una beca,spam,1
Por favor selecciona tu forma de pago,ham,0
Mira estas divertidas fotos de animales,spam,1
Recibe un bono de bienvenida al registrarte,spam,1
Inspírate con estas frases motivacionales,spam,1
Necesitamos verificar tu mayoría de edad para proceder,spam,1
Elimina las arrugas con este tratamiento revolucionario,spam,1
Estamos trabajando para resolver la incidencia lo antes posible,ham,0
Hola soy tu vecino y necesito un favor,ham,0
Tu comprobante de retención está listo,ham,0
Solicita tu seguro de desempleo,ham,0
Lamentamos los inconvenientes causados por el retraso,ham,0
Resalta tu mirada con nuestras sombras de ojos,spam,1
Aprovecha nuestra opción de refinanciamiento,spam,1
Estimula tu creatividad con nuestro taller de arte,spam,1
Por favor confirma tu asistencia a la capacitación de seguridad,ham,0
Este producto te hara sentir mas joven,spam,1
Evita la suspensión renueva tu licencia,spam,1
Envia una copia de tu identificacion,spam,1
Aprovecha nuestros planes de financiamiento,spam,1
Gana músculo rápidamente con este suplemento,spam,1
Invierte en acciones de alto rendimiento hoy,spam,1
Aprende ingles en solo 10 dias,spam,1
Descubre la fórmula del éxito en nuestro webinar,spam,1
Sorprende a tu pareja con este perfume,spam,1
Entérate de las noticias más relevantes,spam,1
Tu opinión sobre nuestro servicio nos interesa,ham,0
Aumenta tu energía con este suplemento natural,spam,1
Construyamos un refugio con tu apoyo,ham,0
Empeza a disfrutar tu suscripción,ham,0
Has sido preseleccionado para recibir un premio en efectivo,spam,1
Tus comentarios nos hacen mejores,ham,0
Baja de peso con nuestras opciones vegetarianas,spam,1
Comunicado oficial: nuevos horarios de atención,ham,0
Baja de peso con nuestras ensaladas,spam,1
Rompe este récord y gana fama,spam,1
Sé que tienes dudas con gusto te las aclaro,ham,0
Aumenta tu resistencia con estas pastillas,spam,1
Descubre cómo aprender un idioma en tiempo récord,spam,1
Monetiza tus conocimientos como instructor,spam,1
Feliz cumpleanos que lo pases increible,ham,0
Haz una fortuna con este metodo secreto,spam,1
Hola ¿podríamos agendar una llamada?,ham,0
Gracias por unirte a nuestra comunidad virtual,ham,0
Participa en el sorteo de un iPhone,spam,1
Gana un iPhone gratis participando en este sorteo,spam,1
Confirma tu asistencia al evento,ham,0
Acumula millas en cada viaje que hagas con nosotros,spam,1
Tu saldo actual y próximos pagos,ham,0
Feliz aniversario que sigan los exitos,ham,0
Diviertete con estos memes de perros,spam,1
Ejercita tu cerebro con acertijos diarios,spam,1
Por favor confirma tu asistencia al seminario,ham,0
Hola soy un principe nigeriano y necesito tu ayuda,spam,1
Descarga el manual de usuario aquí,spam,1
Dibuja como un experto con estos tips,spam,1
Gracias por ser un cliente valioso,ham,0
Descarga tu informe de crédito gratis ahora,spam,1
Tu boleta de pago está disponible,ham,0
Bienvenido a nuestro selecto club,ham,0
Gana regalos con este código QR,spam,1
Gana un kit gamer en nuestros sorteos,spam,1
Genera ingresos compartiendo tus conocimientos,spam,1
Postúlate a este reality show,spam,1
No te pierdas estos adorables videos de perritos,spam,1
Obtén ingresos pasivos con nuestro programa,spam,1
Invierte en esta criptomoneda emergente y multiplica tu dinero,spam,1
Descarga el manual del usuario,spam,1
Por favor elige el color y talla de tu preferencia,spam,1
Tu taxi al aeropuerto llegará en 10 minutos,ham,0
Usa este código promocional en tu próxima visita,spam,1
Baja de peso con nuestras deliciosas recetas saludables,spam,1
Tu nueva contraseña ya está activa,ham,0
Invierte en bonos gubernamentales hoy,spam,1
Ayúdanos a construir más escuelas con tu donativo,ham,0
Obten acceso ilimitado a contenido exclusivo,spam,1
Gracias por contactarnos valoramos tus comentarios,ham,0
Confirma tu suscripción a nuestra lista de correos,spam,1
Acumula millas viajando con nosotros,spam,1
Un regalo especial por ser nuestro cliente fiel,ham,0
Este es un aviso de tu factura vencida,spam,1
Recuerda que tu pago vence la próxima semana,ham,0
Qué te pareció tu experiencia con nuestro equipo?,ham,0
Unete a nuestro programa de afiliados y gana dinero extra,spam,1
Gana un fin de semana de spa en nuestro concurso,spam,1
Felicidades estas pre-aprobado para un credito,ham,0
Suscríbete a nuestro canal y no te pierdas ningún video,spam,1
Baja nuestra guia de ejercicios gratis,spam,1
No te pierdas estos videos de gatitos juguetones,spam,1
Adquiere tu seguro de hogar con nosotros,spam,1
Feliz Día de la Madre felicidades a tu mamá,ham,0
Importante: cambios en nuestros términos y condiciones,ham,0
Haz clic aqui para descargar el archivo adjunto,spam,1
Mantente informado con nuestro boletín semanal,spam,1
Obtén ganancias constantes con nuestro sistema,spam,1
Agenda tu cita para el chequeo anual,ham,0
Gana una gift card de 100 dolares,spam,1
Tu membresía ha sido aprobada,ham,0
Tu paquete esta listo para ser recogido,spam,1
Gracias por postular te tendremos en cuenta,ham,0
Aprovecha nuestro financiamiento sin intereses,spam,1
Necesitamos una foto de tu identificación,spam,1
Este producto milagroso te quitara las arrugas,spam,1
Ayúdanos a superar esta marca mundial,spam,1
Valida tu mail para continuar,ham,0
Firma el convenio de manera digital,ham,0
Reclama tu herencia de un pariente lejano,spam,1
Trabaja desde casa sin experiencia,spam,1
Descubre el secreto para un abdomen plano,spam,1
Tu feedback nos ayuda a crecer,ham,0
Despierta al artista que llevas dentro,spam,1
Aprovecha nuestra tasa de cambio preferencial,spam,1
Recibe tus envíos gratis por un año,spam,1
Gana dinero siendo mystery shopper,spam,1
Recomienda nuestro producto y gana comisiones,spam,1
Por favor actualiza tus preferencias de comunicación,ham,0
Aprovecha nuestros créditos especiales para PyMEs,spam,1
Multiplica tus ingresos con este programa de afiliacion,spam,1
Necesitas ayuda con tu tarea,ham,0
Mantente al día con nuestro resumen de noticias diario,spam,1
Confirma tu asistencia a la boda,ham,0
Hola me gustaría más información sobre tus servicios,ham,0
Acumula reward points en cada compra,spam,1
Descarga tu estado de cuenta mensual,ham,0
Completa tu perfil para una mejor experiencia,ham,0
Conoce los nuevos horarios de atencion,ham,0
Felicitaciones fuiste seleccionado para una entrevista,ham,0
Recuerda tu cita para tu chequeo anual,ham,0
Atrae la suerte con este amuleto,spam,1
Tu factura del mes está lista para ser pagada,ham,0
Manten alta tu energia con nuestras barritas,spam,1
Evita cargos por mora pagando a tiempo,ham,0
Trabaja desde casa y gana mucho dinero,spam,1
Haz clic para obtener tu código de descuento,spam,1
Hola soy tu amigo de la infancia,ham,0
Baja de peso sin pasar hambre,spam,1
Esta es tu ultima oportunidad para adquirir este producto,spam,1
Tu paquete está listo para ser recogido,ham,0
Este es un mensaje automatico de nuestro sistema,ham,0
Hola ¿te gustaría colaborar en nuestro proyecto?,ham,0
Tu reembolso está en proceso,ham,0
Lee nuestro análisis semanal del mercado,spam,1
Comienza hoy a ahorrar para su futuro,spam,1
Este es un recordatorio de tu cita de manana,ham,0
Feliz cumpleaños que todos tus deseos se hagan realidad,ham,0
Te invitamos a probar nuestro nuevo producto,ham,0
Tu habitación de hotel está lista,ham,0
Informamos el cierre temporal de una sucursal,ham,0
Tu suscripción ha sido renovada automáticamente,ham,0
Esta increíble oferta termina hoy ¡no te la pierdas!,spam,1
Necesito tu aprobación para proceder con el plan,ham,0
Hola soy un viejo amigo y quiero reconnectar contigo,spam,1
Hola solo queria saber como has estado,ham,0
Este es un recordatorio de tu reserva,ham,0
Resolveremos tu caso a la brevedad,ham,0
Descubre las 10 claves del exito empresarial,spam,1
Apoya a nuestra fundación con tu aporte voluntario,ham,0
Desarrolla músculos en poco tiempo con nuestro producto,spam,1
Súmate como voluntario y cambia realidades,ham,0
Reconfirma tu correo para evitar suspensiones,spam,1
Gracias por tu compra tu satisfacción es nuestra prioridad,ham,0
Felicidades por tu ascenso,ham,0
No te pierdas estos divertidos memes,spam,1
Protege tu hogar con nuestro seguro contra desastres,spam,1
Hola ¿quieres tener una cita conmigo?,ham,0
Tu suscripcion expirara pronto,ham,0
Ayúdanos a plantar más árboles con tu aporte,ham,0
Últimas horas para aprovechar nuestras promociones,spam,1
Tu compra está protegida,ham,0
Valoramos tu lealtad aquí tienes un regalo especial,ham,0
Luce una mirada impactante con nuestro delineador,spam,1
Realza tu mirada con nuestras sombras,spam,1
Comprueba tu número telefónico,ham,0
Gana dinero viendo anuncios en tu telefono,spam,1
Obtén un regalo especial con este código QR,spam,1
Haz clic aquí para reclamar tu cupón de descuento,spam,1
Acumula puntos y canjéalos por increíbles recompensas,spam,1
Gracias por tu fidelidad aqui tienes un cupon de descuento,ham,0
Necesitamos una copia de tu identificación para el registro,spam,1
No te pierdas las novedades de la temporada,spam,1
Reclama aquí tu gift card de cumpleaños,ham,0
Baja este increíble wallpaper HD,spam,1
Informamos nuestros nuevos horarios,ham,0
Aumenta tu busto naturalmente con esta crema,spam,1
Gracias por tu pago tu cuenta está al día,ham,0
Genera ingreso extra como freelancer,spam,1
Obten criptomonedas gratis con este link,spam,1
Asegura tu auto con la mejor cobertura del mercado,spam,1
Lee nuestro analisis semanal de la industria,ham,0
No te pierdas nuestras ofertas de último minuto,spam,1
Conoce gente interesante cerca de ti,spam,1
Monitorea tu envio con este tracking,ham,0
Consigue el cabello de tus sueños con nuestro tratamiento,spam,1
Tu pedido ha sido despachado,ham,0
Gracias por tu fidelidad,ham,0
Reclama tu premio por cliente frecuente,ham,0
Ayúdanos a construir un mundo mejor con tu aporte,ham,0
Gana puntos por cada compra y canjéalos por premios,spam,1
Hola soy tu asesor de imagen personal,spam,1
Postula a tu crush y gana una cita,spam,1
Bienvenido al equipo,ham,0
Invierte en bienes raíces y genera rentas pasivas,spam,1
Domina el arte de hablar en público con nuestro curso,spam,1
Tu cuenta ha sido desbloqueada con éxito,ham,0
Hola ¿te gustaría salir a tomar un café?,ham,0
Has sido seleccionado para recibir un obsequio especial,spam,1
Refuerza tus defensas con nuestras vitaminas,spam,1
Gracias por tu pago tu servicio está activo,ham,0
Lamentamos informarte que el producto esta agotado,ham,0
Rebajas nocturnas solo por unas horas,spam,1
Mejora tu vida sexual con este suplemento natural,spam,1
Accede a beneficios exclusivos en nuestro club,spam,1
Revisa mis comentarios al borrador,ham,0
Últimas horas de nuestra mega liquidación ¡aprovecha!,spam,1
Accede a descuentos exclusivos en nuestro sitio web,spam,1
No olvides tu cita para la limpieza dental,ham,0
Gracias por unirte a nuestro equipo bienvenido a bordo,ham,0
Necesito que me hagas un favor,ham,0
Tu reclamo ha sido resuelto favorablemente,ham,0
Encuentra a tu media naranja con nuestra app de citas,spam,1
Reconfirma tu reserva para el tratamiento,ham,0
Confirma tu asistencia al workshop,ham,0
Elige el plan a tu medida,ham,0
Recordatorio de tu cita con el nutricionista,ham,0
Feliz aniversario que sigan cumpliendo muchos más juntos,ham,0
Reclama tu seguro de desempleo aquí,ham,0
Hola ¿te gustaría unirte a nuestro club de lectura?,ham,0
Maneja protegido con nuestro seguro vehicular,spam,1
Tu cuenta ha sido bloqueada temporalmente,spam,1
Marca la diferencia con tu rutina fitness,spam,1
Lee nuestro resumen diario de noticias,spam,1
Tu donacion hara la diferencia,ham,0
Personaliza tu movil con este fondo de pantalla,spam,1
Genera ingresos recomendando nuestros cursos,spam,1
Recibe tus compras hoy mismo,spam,1
Desarrolla un cuerpo escultural con nuestras rutinas,spam,1
Gracias por escribirnos te responderemos a la brevedad,ham,0
Obtén envío express gratis en compras mayores a $100,spam,1
Descubre las últimas tendencias de moda,spam,1
Tu pago ha sido procesado con éxito,ham,0
Obtén descuentos exclusivos en nuestra tienda online,spam,1
Tu envío está en camino llegará pronto,ham,0
Brinda esperanza apadrinando un nino,ham,0
Liquidacion total precios de locura,spam,1
Hola ¿te interesa formar parte de nuestro equipo?,ham,0
Bienvenido a nuestro programa de recompensas,ham,0
Haz clic para descargar este increíble fondo de pantalla,spam,1
Agradecemos tus sugerencias siempre son bienvenidas,ham,0
Descubre las claves de un negocio exitoso,spam,1
Gracias por tus comentarios siempre buscamos mejorar,ham,0
Mil gracias por elegirnos haremos hasta lo imposible por satisfacerte,ham,0
Estamos atendiendo tu reclamo te responderemos a la brevedad,ham,0
Actualiza tu informacion de contacto,ham,0
Te compartimos este divertido reto viral,spam,1
Necesito que revises y firmes el contrato adjunto,ham,0
Este es un aviso importante de tu proveedor de servicios,ham,0
Gracias por confiar en nosotros estamos para servirte,ham,0
Comprueba que eres mayor de edad,spam,1
Gracias por registrarte disfruta de todos nuestros beneficios,ham,0
Extendimos tu periodo de prueba gratis,ham,0
Baja nuestro mapa turístico gratuito,spam,1
Revisa el documento adjunto y fírmalo digitalmente,ham,0
Obten tu reporte de credito gratis ahora,spam,1
Visita nuestra nueva tienda online,spam,1
Por favor comparte tu opinión sobre nuestro nuevo producto,ham,0
Te invitamos a participar en nuestra encuesta de satisfaccion,ham,0
Mira estas adorables fotos de cachorros,spam,1
Tu garantía ha sido extendida sin costo adicional,ham,0
Hemos recibido tu curriculum y te contactaremos si hay una vacante,ham,0
Has ganado una gift card para tu tienda favorita,spam,1
Esta es tu última oportunidad para ahorrar,spam,1
Descarga este asombroso fondo de pantalla gratis,spam,1
Únete a nuestra causa y hagamos del mundo un lugar mejor,ham,0
Participa en nuestro concurso y gana premios increibles,spam,1
Luce un cabello de comercial con nuestro shampoo,spam,1
Comparte conmigo tus comentarios del borrador,ham,0
Agradecemos tus ideas de mejora,ham,0
Comienza tu dia con pensamientos positivos,spam,1
Gana boletos para la premiere de la pelicula,spam,1
Felicidades por tu ascenso te lo mereces,ham,0
Por favor actualiza tus preferencias de notificaciones,ham,0
Marca la diferencia con abdominales de acero,spam,1
Hola ¿cuándo nos juntamos?,ham,0
Aumenta tu energía con nuestras barras energéticas,spam,1
Tu certificado de ingresos ya fue emitido,ham,0
Verifica tu número de teléfono,ham,0
Gana más referenciando esta oportunidad,spam,1
Haz clic para descargar este fondo de pantalla gratis,spam,1
Transforma tu cuerpo con nuestro programa de 90 días,spam,1
Haz clic aqui para ganar un premio,spam,1
Lee los insights clave de la industria,spam,1
Gana un día de spa en nuestro concurso de fin de mes,spam,1
Felicidades tu crédito fue pre-aprobado,ham,0
Por favor verifica tu dirección de envío,ham,0
Compra medicamentos sin receta medica,spam,1
Canjea este cupón por un postre gratis,spam,1
Marca tu six-pack con nuestro gel,spam,1
Comparte tus ideas sobre esta propuesta,ham,0
Hola soy Maria tu nueva vecina,ham,0
Tu estado de cuenta ya está disponible revísalo aquí,ham,0
Presume un cuerpo tonificado este verano,spam,1
Hola tengamos una charla sobre tu futuro,ham,0
Conviertete en un afiliado y gana dinero promocionando nuestros productos,spam,1
Obtén la cobertura médica que necesitas,spam,1
Este es un recordatorio de tu vuelo de mañana,ham,0
Protege a tu familia con un seguro de salud,spam,1
Descubre los secretos para un cabello hermoso y brillante,spam,1
Tu membresía ha sido activada exitosamente,ham,0
Multiplica tus ganancias integrándote a nuestro equipo,spam,1
Pierde peso sin esfuerzo con este suplemento,spam,1
Necesito que firmes el NDA adjunto,ham,0
Hola cotiza nuestros servicios aquí,ham,0
Elige donde recoger tus paquetes,ham,0
Gracias por tu pago tu suscripción ha sido renovada,ham,0
Por favor verifica tu número celular,ham,0
Necesitamos verificar tu informacion de pago,spam,1
Solo hoy 50% de descuento en todo,spam,1
